關鍵詞語,出現次數
手術,9351
眼鏡,6284
眼睛,5503
到,3777
戴,3527
要,3466
雷射,3366
沒,3339
跟,3311
狀況,3248
來,3212
近視,3139
去,2862
好,2764
時間,2726
看,2715
因為,2640
人,2629
所以,2474
諮,2470
自己,2462
眼科,2459
術,2332
角膜,2317
為,2270
對,2250
上,2198
讓,2177
隱形,2153
）,2139
（,2063
想,2042
檢查,2025
復,2011
再,2010
0,2009
多,1923
和,1874
感覺,1865
大家,1829
之,1822
或,1816
比,1816
前,1763
得,1762
非常,1750
較,1738
於,1726
覺得,1719
月,1714
又,1705
鏡片,1703
問題,1700
你,1670
醫師,1592
無,1586
一個,1581
恢,1553
相關,1538
嗎,1504
與,1451
用,1433
視力,1429
只,1427
看到,1407
醫生,1360
過程,1352
知道,1349
一直,1345
淚液,1338
分享,1336
需要,1307
才,1297
他,1295
如果,1292
買,1288
可能,1281
~,1277
真,1229
開始,1223
厚度,1217
時候,1203
一下,1188
請,1188
被,1179
比較,1177
方式,1172
」,1164
「,1161
使用,1146
最,1141
光度,1130
散光,1100
時,1098
目前,1091
文章,1084
其他,1083
大概,1080
正常,1079
已經,1058
能,1050
5,1044
起來,1022
朋友,1014
心得,1008
4,1001
回診,1001
更,991
數,990
數據,983
選擇,982
長,965
之前,959
等,957
舒服,951
大,937
一樣,936
右眼,936
推薦,929
當天,929
詢師,922
這個,921
左眼,919
發現,917
像,916
從,910
而且,909
個,908
這樣,907
配戴,902
雖然,879
隱眼,878
中,874
清楚,870
;,861
什麼,852
完全,851
評估,842
部分,840
最近,838
一次,827
散,817
而,815
工作,803
吃,798
以,793
畏光,786
醫療,780
係,779
直接,776
本篇,776
單位,762
度,760
^,754
休息,751
回家,747
其實,747
一些,738
把,730
生活,729
這,728
建議,725
他們,725
年,723
經驗,722
資料,721
決定,718
乾眼,716
著,711
一點,707
*,700
日,700
好像,700
隔天,696
瞳孔,695
基本,695
遠視度數,684
進行,673
00,672
感,670
─,670
院所,666
容易,665
大學,663
小,656
適合,650
應該,647
喜歡,646
晚上,633
人工,631
所,629
—,622
輕微,622
呢,617
太,617
R,608
診所,607
約,606
及,605
方便,600
快,594
找,590
L,590
以上,585
一,581
完,579
小時,578
聽,572
執刀,571
謝謝,568
她,560
　,556
結果,556
帶,549
水霧,549
大小,548
那,548
整個,545
先,544
吧,543
專業,536
分泌,535
這種,533
夜間,533
加上,533
眼壓,532
可,531
左右,529
6,526
們,525
怎麼,525
帳號,524
X,517
50,511
預約,509
顏色,508
希望,505
原本,499
已,493
完成,489
炫光,489
話,488
結束,487
提供,487
看看,481
緊張,481
注意,479
自然,479
這次,477
下,474
直徑,472
以及,472
以前,472
術前,471
還,470
秒,466
一定,463
內,462
想要,461
蠻,460
模糊,460
錢,455
填寫,452
拋,448
上班,448
效果,448
店家,447
乾澀,445
感受,442
一副,440
鏡,437
度數,436
這款,434
只要,434
啦,431
特別,431
各位,431
smilepro,430
O,429
因此,426
；,421
每天,417
另外,416
製,415
明顯,414
PrtIII,412
沒什麼,407
本身,406
考慮,405
品牌,399
睡,397
雙眼,397
8,394
所人,393
由,392
以個,390
一般,390
實際診,389
否存,389
請問,387
價關,387
越,386
清晰,386
東西,383
甚至,383
感到,381
平常,380
感謝,380
兩個,380
影響,378
gt,377
鏡框,375
當下,375
重要,375
幾乎,374
整體,374
只能,373
提醒,373
乾,371
費用,371
擔心,370
該,369
眼球,367
日本,365
新,364
確認,363
系列,363
還要,363
鬆,362
台北,361
傷口,360
造成,360
隻,357
今天,354
任何,352
台灣,351
換取,349
財物,349
那麼,349
拿,348
收受,347
改善,347
發文動機,347
